"n","b","est","psi","lower","upper","mc_id"
500,44,"raking",0.0214331248643285,-0.0442582961206934,0.0871245458493504,44
500,45,"raking",0.0704632894547526,0.0170574890785379,0.123869089830967,45
500,46,"raking",0.0211086741550739,-0.0349211656806627,0.0771385139908105,46
500,47,"raking",0.0244922100665556,-0.0419361922964466,0.0909206124295578,47
500,48,"raking",0.0537854734490006,-0.0141363278326348,0.121707274730636,48
500,49,"raking",0.0714427323020819,-0.0159026175738142,0.158788082177978,49
500,50,"raking",0.0398296157271319,-0.0192584995550755,0.0989177310093393,50
500,51,"raking",0.0691682951715033,-0.00543542951986943,0.143772019862876,51
500,52,"raking",-0.0167499521835753,-0.0728155925250357,0.0393156881578852,52
500,53,"raking",0.0160356032035137,-0.0647687001769836,0.0968399065840111,53
500,54,"raking",0.0271756719555586,-0.0351693989792049,0.0895207428903221,54
500,55,"raking",0.0423443086184828,-0.030788529593385,0.115477146830351,55
500,56,"raking",0.00467335448093587,-0.068196781961087,0.0775434909229587,56
500,57,"raking",0.095913050648103,0.0120661776534841,0.179759923642722,57
500,58,"raking",0.0804352605547991,0.0139591078557406,0.146911413253858,58
500,59,"raking",0.0998940464759887,0.0308786625453129,0.168909430406665,59
500,60,"raking",0.0218154431366293,-0.0418420798671696,0.0854729661404282,60
500,61,"raking",0.00974996885309177,-0.0481906401779465,0.06769057788413,61
500,62,"raking",0.0224480643978602,-0.0334379325363467,0.078334061332067,62
500,63,"raking",0.0874729076783132,0.0212919669532005,0.153653848403426,63
500,64,"raking",0.000141950792210003,-0.049887412445089,0.050171314029509,64
500,65,"raking",-0.0153615942403217,-0.0752703551944627,0.0445471667138193,65
500,66,"raking",-0.0249225859255491,-0.0787477510022093,0.0289025791511111,66
500,67,"raking",0.0375290646470226,-0.0227801436512501,0.0978382729452953,67
500,68,"raking",0.13115336098719,0.0497051470900693,0.212601574884311,68
500,69,"raking",-0.0150236980690253,-0.0719759298696342,0.0419285337315835,69
500,70,"raking",0.0313350536889311,-0.033195128989028,0.0958652363668902,70
500,71,"raking",0.0357519391686414,-0.0193436696367415,0.0908475479740244,71
500,72,"raking",0.0510092902919047,-0.0267559950578959,0.128774575641705,72
500,73,"raking",-0.0018841251373883,-0.0623842255427146,0.0586159752679379,73
500,74,"raking",0.00222570992002711,-0.0528283711374795,0.0572797909775337,74
500,75,"raking",0.0484477462133358,-0.02077602247707,0.117671514903742,75
500,76,"raking",0.0359655512579871,-0.0251772668117395,0.0971083693277137,76
500,77,"raking",0.047687458233131,-0.0131381971111924,0.108513113577454,77
500,78,"raking",0.0640394445544359,-0.00759375801878742,0.135672647127659,78
500,79,"raking",0.0482262472538153,-0.0171220088013107,0.113574503308941,79
500,80,"raking",0.0469722115537352,-0.0178115632387286,0.111755986346199,80
