"est","psi","lower","upper","mc_id","n"
"ipcw-tmle",0.00839513451338041,-0.0353134849039173,0.0521037539306781,1,500
"ipcw-tmle-target-Pi-ver-2",-0.0065860133398939,-0.0438909778793353,0.0307189511995475,1,500
"raking",-0.00122065599291105,-0.0396151174646138,0.0371738054787917,1,500
"ipcw-tmle",0.0276790887528841,-0.0271232453512599,0.0824814228570282,1,500
"ipcw-tmle-target-Pi-ver-2",0.0114980990623753,-0.0230771190811359,0.0460733172058866,1,500
"raking",0.0114022942979281,-0.0237910665433163,0.0465956551391726,1,500
"ipcw-tmle",0.0109854578877771,-0.0398156830022294,0.0617865987777835,1,500
"ipcw-tmle-target-Pi-ver-2",-0.0020356480134251,-0.0518141092808787,0.0477428132540285,1,500
"raking",-0.00315189004500972,-0.0363719731457597,0.0300681930557402,1,500
"ipcw-tmle",0.0771450849568548,-0.0203392026533595,0.174629372567069,1,500
"ipcw-tmle-target-Pi-ver-2",0.0488904724610076,-0.077601701107804,0.175382646029819,1,500
"raking",0.0479672991129499,-0.0207748771315779,0.116709475357478,1,500
"ipcw-tmle",0.0386734498203382,-0.0129177381336236,0.0902646377742999,1,500
"ipcw-tmle-target-Pi-ver-2",0.0390494899493194,-0.00352603446088398,0.0816250143595229,1,500
"raking",0.0433808712431144,-0.00410825695992361,0.0908699994461523,1,500
"ipcw-tmle",0.0318904431005596,-0.00926663974155243,0.0730475259426716,1,500
"ipcw-tmle-target-Pi-ver-2",0.0334644428004431,0.00371209024031968,0.0632167953605665,1,500
"raking",0.045676154107268,0.000378302946936478,0.0909740052675996,1,500
"ipcw-tmle",-0.00675899613632029,-0.0621304639916395,0.0486124717189989,1,500
"ipcw-tmle-target-Pi-ver-2",0.00685681517844892,-0.0396176782535404,0.0533313086104383,1,500
"raking",0.0443807161326483,-0.0208242016097334,0.10958563387503,1,500
"ipcw-tmle",0.0153124197653855,-0.0431117215596119,0.0737365610903828,1,500
"ipcw-tmle-target-Pi-ver-2",0.0171524783320017,-0.0471359403559636,0.0814408970199669,1,500
"raking",0.0111089164145643,-0.025901601607981,0.0481194344371097,1,500
"ipcw-tmle",0.0336652469979849,-0.0239467442719914,0.0912772382679612,1,500
"ipcw-tmle-target-Pi-ver-2",0.019580718661099,-0.0328839365337557,0.0720453738559536,1,500
"raking",0.00466919299350573,-0.04240455000371,0.0517429359907214,1,500
"ipcw-tmle",0.00291918362449801,-0.0421863724750671,0.0480247397240631,1,500
"ipcw-tmle-target-Pi-ver-2",-0.0116655533085276,-0.0515538700190377,0.0282227634019825,1,500
"raking",-0.00221635673812538,-0.0323619965760747,0.0279292830998239,1,500
"ipcw-tmle",0.027123358789583,-0.0240234376146886,0.0782701551938546,1,500
"ipcw-tmle-target-Pi-ver-2",0.0374922566364203,-0.0115292751037597,0.0865137883766003,1,500
"raking",0.0336625027705396,-0.00673492441046852,0.0740599299515476,1,500
"ipcw-tmle",-0.000716152765034693,-0.0358317430328102,0.0343994375027408,1,500
"ipcw-tmle-target-Pi-ver-2",0.0172258603747586,-0.0217421858380314,0.0561939065875486,1,500
"raking",0.00802791117737861,-0.015706483060876,0.0317623054156332,1,500
"ipcw-tmle",-0.0263487216517077,-0.0849565003499748,0.0322590570465594,1,500
"ipcw-tmle-target-Pi-ver-2",-0.00891168546836863,-0.0642311915506694,0.0464078206139321,1,500
"raking",0.00349530899570164,-0.0428948517005949,0.0498854696919981,1,500
"ipcw-tmle",0.00243317548536102,-0.032290854628114,0.0371572055988361,1,500
"ipcw-tmle-target-Pi-ver-2",0.0173092461394542,-0.0238346648142076,0.058453157093116,1,500
"raking",0.0128450033701391,-0.015366821570723,0.0410568283110011,1,500
